product_id,waist,length,style,count
1,28,36,jetblues,75
1,28,36,greydogs,46
1,28,36,stonecutters,72
1,28,36,grahamslackers,5
1,28,36,blackjacks,5
1,28,36,jetstrams,46
1,28,36,blue,68
1,28,38,jetblues,80
1,28,38,greydogs,69
1,28,38,stonecutters,39
1,28,38,grahamslackers,83
1,28,38,blackjacks,23
1,28,38,jetstrams,41
1,28,38,blue,38
1,32,36,jetblues,72
1,32,36,greydogs,51
1,32,36,stonecutters,50
1,32,36,grahamslackers,92
1,32,36,blackjacks,55
1,32,36,jetstrams,99
1,32,36,blue,1
1,32,38,jetblues,5
1,32,38,greydogs,87
1,32,38,stonecutters,13
1,32,38,grahamslackers,90
1,32,38,blackjacks,18
1,32,38,jetstrams,6
1,32,38,blue,75
1,34,36,jetblues,9
1,34,36,greydogs,50
1,34,36,stonecutters,60
1,34,36,grahamslackers,9
1,34,36,blackjacks,34
1,34,36,jetstrams,63
1,34,36,blue,99
1,34,38,jetblues,76
1,34,38,greydogs,29
1,34,38,stonecutters,47
1,34,38,grahamslackers,93
1,34,38,blackjacks,69
1,34,38,jetstrams,75
1,34,38,blue,19
2,34,30,jetblues,73
2,34,30,greydogs,23
2,34,30,stonecutters,77
2,34,30,grahamslackers,74
2,34,30,blackjacks,14
2,34,30,jetstrams,36
2,34,30,blue,99
2,34,32,jetblues,63
2,34,32,greydogs,32
2,34,32,stonecutters,65
2,34,32,grahamslackers,26
2,34,32,blackjacks,54
2,34,32,jetstrams,64
2,34,32,blue,43
2,32,30,jetblues,34
2,32,30,greydogs,59
2,32,30,stonecutters,34
2,32,30,grahamslackers,10
2,32,30,blackjacks,65
2,32,30,jetstrams,100
2,32,30,blue,84
2,32,32,jetblues,88
2,32,32,greydogs,58
2,32,32,stonecutters,45
2,32,32,grahamslackers,36
2,32,32,blackjacks,74
2,32,32,jetstrams,16
2,32,32,blue,40
2,28,30,jetblues,44
2,28,30,greydogs,18
2,28,30,stonecutters,56
2,28,30,grahamslackers,15
2,28,30,blackjacks,15
2,28,30,jetstrams,65
2,28,30,blue,76
2,28,32,jetblues,91
2,28,32,greydogs,67
2,28,32,stonecutters,17
2,28,32,grahamslackers,52
2,28,32,blackjacks,3
2,28,32,jetstrams,18
2,28,32,blue,4
3,30,32,jetblues,57
3,30,32,greydogs,69
3,30,32,stonecutters,15
3,30,32,grahamslackers,50
3,30,32,blackjacks,6
3,30,32,jetstrams,33
3,30,32,blue,65
3,30,36,jetblues,19
3,30,36,greydogs,57
3,30,36,stonecutters,14
3,30,36,grahamslackers,66
3,30,36,blackjacks,100
3,30,36,jetstrams,66
3,30,36,blue,72
3,34,32,jetblues,24
3,34,32,greydogs,95
3,34,32,stonecutters,74
3,34,32,grahamslackers,91
3,34,32,blackjacks,4
3,34,32,jetstrams,18
3,34,32,blue,38
3,34,36,jetblues,32
3,34,36,greydogs,66
3,34,36,stonecutters,28
3,34,36,grahamslackers,35
3,34,36,blackjacks,44
3,34,36,jetstrams,54
3,34,36,blue,99
3,32,32,jetblues,79
3,32,32,greydogs,10
3,32,32,stonecutters,17
3,32,32,grahamslackers,10
3,32,32,blackjacks,79
3,32,32,jetstrams,25
3,32,32,blue,51
3,32,36,jetblues,2
3,32,36,greydogs,61
3,32,36,stonecutters,83
3,32,36,grahamslackers,43
3,32,36,blackjacks,28
3,32,36,jetstrams,13
3,32,36,blue,3
4,32,32,jetblues,75
4,32,32,greydogs,40
4,32,32,stonecutters,38
4,32,32,grahamslackers,12
4,32,32,blackjacks,32
4,32,32,jetstrams,8
4,32,32,blue,30
4,32,36,jetblues,14
4,32,36,greydogs,29
4,32,36,stonecutters,98
4,32,36,grahamslackers,18
4,32,36,blackjacks,85
4,32,36,jetstrams,45
4,32,36,blue,40
4,36,32,jetblues,25
4,36,32,greydogs,37
4,36,32,stonecutters,92
4,36,32,grahamslackers,78
4,36,32,blackjacks,59
4,36,32,jetstrams,38
4,36,32,blue,13
4,36,36,jetblues,17
4,36,36,greydogs,28
4,36,36,stonecutters,43
4,36,36,grahamslackers,21
4,36,36,blackjacks,94
4,36,36,jetstrams,4
4,36,36,blue,35
4,28,32,jetblues,1
4,28,32,greydogs,36
4,28,32,stonecutters,14
4,28,32,grahamslackers,25
4,28,32,blackjacks,65
4,28,32,jetstrams,84
4,28,32,blue,13
4,28,36,jetblues,8
4,28,36,greydogs,80
4,28,36,stonecutters,36
4,28,36,grahamslackers,78
4,28,36,blackjacks,50
4,28,36,jetstrams,4
4,28,36,blue,53
